id,?column?,?column?,date_start,date_end,encasillamiento,fecha_promocion,name,fecha_antig
1,hr.contract,ctype_4,1984-10-01,,A10,1991-08-01,51121,1984-10-01
2,hr.contract,ctype_4,1988-05-23,,A11,1998-01-01,51330,1988-05-23
3,hr.contract,ctype_4,2007-08-01,,A10,2007-08-01,51441,2008-08-01
4,hr.contract,ctype_4,1990-03-21,,A10,1998-01-01,51357,1990-03-21
5,hr.contract,ctype_4,1986-08-01,,A10,1987-10-01,51154,1986-08-01
6,hr.contract,ctype_4,1994-12-29,,A12,1998-01-31,51309,1994-12-29
7,hr.contract,ctype_4,2007-02-01,,P12,2007-02-01,51425,2007-02-01
8,hr.contract,ctype_4,1985-12-20,,A11,1987-09-01,51196,1985-12-20
9,hr.contract,ctype_4,1988-09-01,,P13,2010-01-01,51222,1988-09-01
10,hr.contract,ctype_7,1985-01-01,,A11,1998-06-01,51136,1985-01-01
11,hr.contract,ctype_7,1989-07-01,,P11,1998-06-01,51233,1989-07-01
12,hr.contract,ctype_4,1990-08-01,,P12,2009-01-01,51243,1990-08-01
13,hr.contract,ctype_4,1988-07-01,,A11,2004-03-29,51210,1988-07-01
14,hr.contract,ctype_4,1974-09-01,,A12,2000-04-01,51387,1974-09-01
15,hr.contract,ctype_4,1986-05-01,,A11,1998-01-01,51321,1986-05-01
16,hr.contract,ctype_4,1977-12-02,,A11,1998-01-01,51333,1977-12-02
17,hr.contract,ctype_4,1987-07-01,,A11,1998-01-01,51319,1986-04-28
18,hr.contract,ctype_4,2004-08-23,,A11,2006-01-01,51416,2004-08-23
19,hr.contract,ctype_4,1980-06-10,,A11,1998-01-01,51362,1980-06-10
